mode,package_id,category,outcome_disagreement,preflight_disagreement,artifact_manifest_disagreement,artifact_hash_disagreement,both_success,artifact_hash_agreement,runner_a_status,runner_a_error_code,runner_a_exit_code,runner_a_artifact_path,runner_a_artifact_byte_count,runner_a_artifact_sha256,runner_b_status,runner_b_error_code,runner_b_exit_code,runner_b_artifact_path,runner_b_artifact_byte_count,runner_b_artifact_sha256,runner_a_outcome,runner_b_outcome
ambiguous,input03,input,True,False,True,True,True,False,SUCCESS,,0,outputs/artifact.json,199,223cc10950c3a28e3faa660050f211fbf625c7dd3991d7f1351fd2e2e870426b,SUCCESS,,0,outputs/artifact.json,204,b1a9f11d702341b860b95e9811eadd469f190d9b0ea23665c9df819bd7d1bc23,"{""artifact_manifest"":[{""byte_count"":199,""path"":""outputs/artifact.json"",""sha256"":""223cc10950c3a28e3faa660050f211fbf625c7dd3991d7f1351fd2e2e870426b""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":204,""path"":""outputs/artifact.json"",""sha256"":""b1a9f11d702341b860b95e9811eadd469f190d9b0ea23665c9df819bd7d1bc23""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
ambiguous,input04,input,True,False,True,True,True,False,SUCCESS,,0,outputs/artifact.json,200,9f2f4f6620b31afedc73e74188350deba2c353c336ccd1778b92ea2f0b65ef26,SUCCESS,,0,outputs/artifact.json,204,fa380f41c38fc543b31915261a99e1d4c8a7ec54acaed184f7b7ee6e8f446345,"{""artifact_manifest"":[{""byte_count"":200,""path"":""outputs/artifact.json"",""sha256"":""9f2f4f6620b31afedc73e74188350deba2c353c336ccd1778b92ea2f0b65ef26""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":204,""path"":""outputs/artifact.json"",""sha256"":""fa380f41c38fc543b31915261a99e1d4c8a7ec54acaed184f7b7ee6e8f446345""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
ambiguous,input05,input,True,True,False,False,False,False,SUCCESS,,0,outputs/artifact.json,198,59b68131a34b8ff2cb762bb3941b4e4b249a613006a2c6569b5b44398a2f27a3,PREFLIGHT_ERROR,MISSING_INPUT,,,,,"{""artifact_manifest"":[{""byte_count"":198,""path"":""outputs/artifact.json"",""sha256"":""59b68131a34b8ff2cb762bb3941b4e4b249a613006a2c6569b5b44398a2f27a3""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[],""error_code"":""MISSING_INPUT"",""exit_code"":null,""status"":""PREFLIGHT_ERROR""}"
ambiguous,input06,input,True,True,False,False,False,False,SUCCESS,,0,outputs/artifact.json,199,3e9ee5ca7c011b20760e688a1a1563e665ced9090cc957090032902e95d72ec3,PREFLIGHT_ERROR,MISSING_INPUT,,,,,"{""artifact_manifest"":[{""byte_count"":199,""path"":""outputs/artifact.json"",""sha256"":""3e9ee5ca7c011b20760e688a1a1563e665ced9090cc957090032902e95d72ec3""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[],""error_code"":""MISSING_INPUT"",""exit_code"":null,""status"":""PREFLIGHT_ERROR""}"
ambiguous,input07,input,True,True,False,False,False,False,SUCCESS,,0,outputs/artifact.json,200,de8e200bb9a2b6fdff0407215389e92e1de84e5c652c9db098127d670e763355,PREFLIGHT_ERROR,MISSING_INPUT,,,,,"{""artifact_manifest"":[{""byte_count"":200,""path"":""outputs/artifact.json"",""sha256"":""de8e200bb9a2b6fdff0407215389e92e1de84e5c652c9db098127d670e763355""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[],""error_code"":""MISSING_INPUT"",""exit_code"":null,""status"":""PREFLIGHT_ERROR""}"
ambiguous,input08,input,True,True,False,False,False,False,SUCCESS,,0,outputs/artifact.json,197,33ba57e8e2907506cf72d5552a6d8fdf7ab1c7a3b9fed1e178ecec9b1510afb5,PREFLIGHT_ERROR,MISSING_INPUT,,,,,"{""artifact_manifest"":[{""byte_count"":197,""path"":""outputs/artifact.json"",""sha256"":""33ba57e8e2907506cf72d5552a6d8fdf7ab1c7a3b9fed1e178ecec9b1510afb5""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[],""error_code"":""MISSING_INPUT"",""exit_code"":null,""status"":""PREFLIGHT_ERROR""}"
ambiguous,output01,output,True,False,True,False,True,True,SUCCESS,,0,package/results/artifact.json,199,a51d816d8ae4160ee6734ebd583258fb7bfd1bf3028064adf30233daac41bb50,SUCCESS,,0,results/artifact.json,199,a51d816d8ae4160ee6734ebd583258fb7bfd1bf3028064adf30233daac41bb50,"{""artifact_manifest"":[{""byte_count"":199,""path"":""package/results/artifact.json"",""sha256"":""a51d816d8ae4160ee6734ebd583258fb7bfd1bf3028064adf30233daac41bb50""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":199,""path"":""results/artifact.json"",""sha256"":""a51d816d8ae4160ee6734ebd583258fb7bfd1bf3028064adf30233daac41bb50""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
ambiguous,output02,output,True,False,True,False,True,True,SUCCESS,,0,package/results/artifact.json,200,fd8fff60a6227ec5709abe79944744fd53230e77e175dd4d4891d3b06f436e3a,SUCCESS,,0,results/artifact.json,200,fd8fff60a6227ec5709abe79944744fd53230e77e175dd4d4891d3b06f436e3a,"{""artifact_manifest"":[{""byte_count"":200,""path"":""package/results/artifact.json"",""sha256"":""fd8fff60a6227ec5709abe79944744fd53230e77e175dd4d4891d3b06f436e3a""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":200,""path"":""results/artifact.json"",""sha256"":""fd8fff60a6227ec5709abe79944744fd53230e77e175dd4d4891d3b06f436e3a""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
ambiguous,output03,output,True,False,True,False,True,True,SUCCESS,,0,package/results/artifact.json,197,6da23f6a6d0c10f0afc2c7c10daf6720b8b862b5c4ba075a4d2cca344943b36e,SUCCESS,,0,results/artifact.json,197,6da23f6a6d0c10f0afc2c7c10daf6720b8b862b5c4ba075a4d2cca344943b36e,"{""artifact_manifest"":[{""byte_count"":197,""path"":""package/results/artifact.json"",""sha256"":""6da23f6a6d0c10f0afc2c7c10daf6720b8b862b5c4ba075a4d2cca344943b36e""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":197,""path"":""results/artifact.json"",""sha256"":""6da23f6a6d0c10f0afc2c7c10daf6720b8b862b5c4ba075a4d2cca344943b36e""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
ambiguous,output04,output,True,False,True,False,True,True,SUCCESS,,0,package/results/artifact.json,199,fa72b9316d6c0cdc7ed5ff5e42e569ea6d5f737bfb924711c92cce8f83797237,SUCCESS,,0,results/artifact.json,199,fa72b9316d6c0cdc7ed5ff5e42e569ea6d5f737bfb924711c92cce8f83797237,"{""artifact_manifest"":[{""byte_count"":199,""path"":""package/results/artifact.json"",""sha256"":""fa72b9316d6c0cdc7ed5ff5e42e569ea6d5f737bfb924711c92cce8f83797237""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":199,""path"":""results/artifact.json"",""sha256"":""fa72b9316d6c0cdc7ed5ff5e42e569ea6d5f737bfb924711c92cce8f83797237""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
ambiguous,output05,output,True,False,True,False,True,True,SUCCESS,,0,package/results/artifact.json,201,0fd72e2fdc45a8399fa9e67f250e1cbaad3044467c4891ff384cd10458ae9b3d,SUCCESS,,0,results/artifact.json,201,0fd72e2fdc45a8399fa9e67f250e1cbaad3044467c4891ff384cd10458ae9b3d,"{""artifact_manifest"":[{""byte_count"":201,""path"":""package/results/artifact.json"",""sha256"":""0fd72e2fdc45a8399fa9e67f250e1cbaad3044467c4891ff384cd10458ae9b3d""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":201,""path"":""results/artifact.json"",""sha256"":""0fd72e2fdc45a8399fa9e67f250e1cbaad3044467c4891ff384cd10458ae9b3d""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
ambiguous,output06,output,True,False,True,False,True,True,SUCCESS,,0,package/results/artifact.json,197,63e18618f76797eda42112c2ab26cc11e4d16fc766383db1f35237daede7bcf8,SUCCESS,,0,results/artifact.json,197,63e18618f76797eda42112c2ab26cc11e4d16fc766383db1f35237daede7bcf8,"{""artifact_manifest"":[{""byte_count"":197,""path"":""package/results/artifact.json"",""sha256"":""63e18618f76797eda42112c2ab26cc11e4d16fc766383db1f35237daede7bcf8""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":197,""path"":""results/artifact.json"",""sha256"":""63e18618f76797eda42112c2ab26cc11e4d16fc766383db1f35237daede7bcf8""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
ambiguous,output07,output,True,False,True,False,True,True,SUCCESS,,0,package/results/artifact.json,196,3923feae197d784c6240d1e314c8bb2713d947f05d68383a3c374ba90ce1197f,SUCCESS,,0,results/artifact.json,196,3923feae197d784c6240d1e314c8bb2713d947f05d68383a3c374ba90ce1197f,"{""artifact_manifest"":[{""byte_count"":196,""path"":""package/results/artifact.json"",""sha256"":""3923feae197d784c6240d1e314c8bb2713d947f05d68383a3c374ba90ce1197f""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":196,""path"":""results/artifact.json"",""sha256"":""3923feae197d784c6240d1e314c8bb2713d947f05d68383a3c374ba90ce1197f""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
ambiguous,output08,output,True,False,True,False,True,True,SUCCESS,,0,package/results/artifact.json,198,2ba8eb9fd630d2d7c27d9c9fafbdd55c1d784987e182aca8b43fa63a3cc2b996,SUCCESS,,0,results/artifact.json,198,2ba8eb9fd630d2d7c27d9c9fafbdd55c1d784987e182aca8b43fa63a3cc2b996,"{""artifact_manifest"":[{""byte_count"":198,""path"":""package/results/artifact.json"",""sha256"":""2ba8eb9fd630d2d7c27d9c9fafbdd55c1d784987e182aca8b43fa63a3cc2b996""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":198,""path"":""results/artifact.json"",""sha256"":""2ba8eb9fd630d2d7c27d9c9fafbdd55c1d784987e182aca8b43fa63a3cc2b996""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
canonical,wd01,wd,False,False,False,False,True,True,SUCCESS,,0,package/results/artifact.json,197,338f1a6ca0dd75e859099706af62b8d6e8550eb49ccbaa04b3b6199650e2fd52,SUCCESS,,0,package/results/artifact.json,197,338f1a6ca0dd75e859099706af62b8d6e8550eb49ccbaa04b3b6199650e2fd52,"{""artifact_manifest"":[{""byte_count"":197,""path"":""package/results/artifact.json"",""sha256"":""338f1a6ca0dd75e859099706af62b8d6e8550eb49ccbaa04b3b6199650e2fd52""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":197,""path"":""package/results/artifact.json"",""sha256"":""338f1a6ca0dd75e859099706af62b8d6e8550eb49ccbaa04b3b6199650e2fd52""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
canonical,wd02,wd,False,False,False,False,True,True,SUCCESS,,0,package/results/artifact.json,196,c6deec860eeb0c10f5d883236dd0ae5a03f9351fe9cb00aff0e6d5931ad9145f,SUCCESS,,0,package/results/artifact.json,196,c6deec860eeb0c10f5d883236dd0ae5a03f9351fe9cb00aff0e6d5931ad9145f,"{""artifact_manifest"":[{""byte_count"":196,""path"":""package/results/artifact.json"",""sha256"":""c6deec860eeb0c10f5d883236dd0ae5a03f9351fe9cb00aff0e6d5931ad9145f""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":196,""path"":""package/results/artifact.json"",""sha256"":""c6deec860eeb0c10f5d883236dd0ae5a03f9351fe9cb00aff0e6d5931ad9145f""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
canonical,wd03,wd,False,False,False,False,True,True,SUCCESS,,0,package/results/artifact.json,194,b29f4fe4dac1a0b7111b9f54d9f58997c05cc660c66a26f1a24aef7af27c9b80,SUCCESS,,0,package/results/artifact.json,194,b29f4fe4dac1a0b7111b9f54d9f58997c05cc660c66a26f1a24aef7af27c9b80,"{""artifact_manifest"":[{""byte_count"":194,""path"":""package/results/artifact.json"",""sha256"":""b29f4fe4dac1a0b7111b9f54d9f58997c05cc660c66a26f1a24aef7af27c9b80""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":194,""path"":""package/results/artifact.json"",""sha256"":""b29f4fe4dac1a0b7111b9f54d9f58997c05cc660c66a26f1a24aef7af27c9b80""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
canonical,wd04,wd,False,False,False,False,True,True,SUCCESS,,0,package/results/artifact.json,195,b988c6df2cbd2256304f90e723d1239080172872fd8afcadc846b0ef130f76f3,SUCCESS,,0,package/results/artifact.json,195,b988c6df2cbd2256304f90e723d1239080172872fd8afcadc846b0ef130f76f3,"{""artifact_manifest"":[{""byte_count"":195,""path"":""package/results/artifact.json"",""sha256"":""b988c6df2cbd2256304f90e723d1239080172872fd8afcadc846b0ef130f76f3""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":195,""path"":""package/results/artifact.json"",""sha256"":""b988c6df2cbd2256304f90e723d1239080172872fd8afcadc846b0ef130f76f3""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
canonical,wd05,wd,False,False,False,False,True,True,SUCCESS,,0,package/results/artifact.json,197,ab759f1dfae9286a7dca9ea999c4e479c6c1309e21d577d913d1656d2e28025b,SUCCESS,,0,package/results/artifact.json,197,ab759f1dfae9286a7dca9ea999c4e479c6c1309e21d577d913d1656d2e28025b,"{""artifact_manifest"":[{""byte_count"":197,""path"":""package/results/artifact.json"",""sha256"":""ab759f1dfae9286a7dca9ea999c4e479c6c1309e21d577d913d1656d2e28025b""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":197,""path"":""package/results/artifact.json"",""sha256"":""ab759f1dfae9286a7dca9ea999c4e479c6c1309e21d577d913d1656d2e28025b""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
canonical,wd06,wd,False,False,False,False,True,True,SUCCESS,,0,package/results/artifact.json,196,8bc4d54d749d9520b221aefe3169c22eb9c47791a08fe20f98c07ba803a62bfe,SUCCESS,,0,package/results/artifact.json,196,8bc4d54d749d9520b221aefe3169c22eb9c47791a08fe20f98c07ba803a62bfe,"{""artifact_manifest"":[{""byte_count"":196,""path"":""package/results/artifact.json"",""sha256"":""8bc4d54d749d9520b221aefe3169c22eb9c47791a08fe20f98c07ba803a62bfe""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":196,""path"":""package/results/artifact.json"",""sha256"":""8bc4d54d749d9520b221aefe3169c22eb9c47791a08fe20f98c07ba803a62bfe""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
canonical,wd07,wd,False,False,False,False,True,True,SUCCESS,,0,package/results/artifact.json,195,14f25df11e79d4394b9ce94b9340d37d140a4be148791423781a091c207c7499,SUCCESS,,0,package/results/artifact.json,195,14f25df11e79d4394b9ce94b9340d37d140a4be148791423781a091c207c7499,"{""artifact_manifest"":[{""byte_count"":195,""path"":""package/results/artifact.json"",""sha256"":""14f25df11e79d4394b9ce94b9340d37d140a4be148791423781a091c207c7499""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":195,""path"":""package/results/artifact.json"",""sha256"":""14f25df11e79d4394b9ce94b9340d37d140a4be148791423781a091c207c7499""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
canonical,wd08,wd,False,False,False,False,True,True,SUCCESS,,0,package/results/artifact.json,197,639715e12d92ea9f67eef7a31442bd0c12a48e45f2edac613da5690d865187bf,SUCCESS,,0,package/results/artifact.json,197,639715e12d92ea9f67eef7a31442bd0c12a48e45f2edac613da5690d865187bf,"{""artifact_manifest"":[{""byte_count"":197,""path"":""package/results/artifact.json"",""sha256"":""639715e12d92ea9f67eef7a31442bd0c12a48e45f2edac613da5690d865187bf""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":197,""path"":""package/results/artifact.json"",""sha256"":""639715e12d92ea9f67eef7a31442bd0c12a48e45f2edac613da5690d865187bf""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
canonical,input01,input,False,False,False,False,True,True,SUCCESS,,0,outputs/artifact.json,198,187b0ec2e4fb35d075f6be674712408d612ab01cbff01277bb61e1fb417a7dd7,SUCCESS,,0,outputs/artifact.json,198,187b0ec2e4fb35d075f6be674712408d612ab01cbff01277bb61e1fb417a7dd7,"{""artifact_manifest"":[{""byte_count"":198,""path"":""outputs/artifact.json"",""sha256"":""187b0ec2e4fb35d075f6be674712408d612ab01cbff01277bb61e1fb417a7dd7""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":198,""path"":""outputs/artifact.json"",""sha256"":""187b0ec2e4fb35d075f6be674712408d612ab01cbff01277bb61e1fb417a7dd7""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
canonical,input02,input,False,False,False,False,True,True,SUCCESS,,0,outputs/artifact.json,200,1e4a32a6e6e4260a740f9c750c54c663ed57d13fda4a8caf6d6f838ddaa655ca,SUCCESS,,0,outputs/artifact.json,200,1e4a32a6e6e4260a740f9c750c54c663ed57d13fda4a8caf6d6f838ddaa655ca,"{""artifact_manifest"":[{""byte_count"":200,""path"":""outputs/artifact.json"",""sha256"":""1e4a32a6e6e4260a740f9c750c54c663ed57d13fda4a8caf6d6f838ddaa655ca""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":200,""path"":""outputs/artifact.json"",""sha256"":""1e4a32a6e6e4260a740f9c750c54c663ed57d13fda4a8caf6d6f838ddaa655ca""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
canonical,input03,input,False,False,False,False,True,True,SUCCESS,,0,outputs/artifact.json,199,223cc10950c3a28e3faa660050f211fbf625c7dd3991d7f1351fd2e2e870426b,SUCCESS,,0,outputs/artifact.json,199,223cc10950c3a28e3faa660050f211fbf625c7dd3991d7f1351fd2e2e870426b,"{""artifact_manifest"":[{""byte_count"":199,""path"":""outputs/artifact.json"",""sha256"":""223cc10950c3a28e3faa660050f211fbf625c7dd3991d7f1351fd2e2e870426b""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":199,""path"":""outputs/artifact.json"",""sha256"":""223cc10950c3a28e3faa660050f211fbf625c7dd3991d7f1351fd2e2e870426b""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
canonical,input04,input,False,False,False,False,True,True,SUCCESS,,0,outputs/artifact.json,200,9f2f4f6620b31afedc73e74188350deba2c353c336ccd1778b92ea2f0b65ef26,SUCCESS,,0,outputs/artifact.json,200,9f2f4f6620b31afedc73e74188350deba2c353c336ccd1778b92ea2f0b65ef26,"{""artifact_manifest"":[{""byte_count"":200,""path"":""outputs/artifact.json"",""sha256"":""9f2f4f6620b31afedc73e74188350deba2c353c336ccd1778b92ea2f0b65ef26""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}","{""artifact_manifest"":[{""byte_count"":200,""path"":""outputs/artifact.json"",""sha256"":""9f2f4f6620b31afedc73e74188350deba2c353c336ccd1778b92ea2f0b65ef26""}],""error_code"":null,""exit_code"":0,""status"":""SUCCESS""}"
