repository_index,case_type,ground_truth_valid,algorithm,predicted_acceptance,correct,failed_role_aware_checks
16,valid,True,role_aware,True,True,[]
16,undeclared_extra,False,strict_equality,False,True,
16,undeclared_extra,False,committed_subset,True,False,
16,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
16,reclassified,False,strict_equality,False,True,
16,reclassified,False,committed_subset,True,False,
16,reclassified,False,role_aware,False,True,"[""generated_disjoint_from_committed"",""payload_equals_committed_union_generated""]"
17,valid,True,strict_equality,False,False,
17,valid,True,committed_subset,True,True,
17,valid,True,role_aware,True,True,[]
17,undeclared_extra,False,strict_equality,False,True,
17,undeclared_extra,False,committed_subset,True,False,
17,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
17,reclassified,False,strict_equality,False,True,
17,reclassified,False,committed_subset,True,False,
17,reclassified,False,role_aware,False,True,"[""generated_disjoint_from_committed"",""payload_equals_committed_union_generated""]"
18,valid,True,strict_equality,False,False,
18,valid,True,committed_subset,True,True,
18,valid,True,role_aware,True,True,[]
18,undeclared_extra,False,strict_equality,False,True,
18,undeclared_extra,False,committed_subset,True,False,
18,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
18,reclassified,False,strict_equality,False,True,
18,reclassified,False,committed_subset,True,False,
18,reclassified,False,role_aware,False,True,"[""generated_disjoint_from_committed"",""payload_equals_committed_union_generated""]"
19,valid,True,strict_equality,False,False,
19,valid,True,committed_subset,True,True,
19,valid,True,role_aware,True,True,[]
19,undeclared_extra,False,strict_equality,False,True,
19,undeclared_extra,False,committed_subset,True,False,
19,undeclared_extra,False,role_aware,False,True,"[""payload_equals_committed_union_generated""]"
19,reclassified,False,strict_equality,False,True,
19,reclassified,False,committed_subset,True,False,
19,reclassified,False,role_aware,False,True,"[""generated_disjoint_from_committed"",""payload_equals_committed_union_generated""]"
