graph_index,candidate_type,alteration,artifact_records_equal_baseline,inventory_root_equal_baseline,relationship_root_changed,reexecution_all_units,changed_edge_field_count,changed_edge_unit_count,no_operation_changes,mutation_shape_valid,all_altered_invariants,common_validation,recomputed_inventory_root,recomputed_relationship_root,trusted_inventory_root,trusted_relationship_root,declared_relationship_root,auth_inventory_accept,auth_relationship_accept,unauth_relationship_accept
6,control,none,True,True,False,True,0,0,True,True,True,True,ca48d116dba19c58fc9b5619557f25a592f1f8b3fdc9a88e914d001ba725df84,cd6db2aff6fc33f5a98af7ba316edf7dc1ea804d679c19f8bce5501d422ff684,ca48d116dba19c58fc9b5619557f25a592f1f8b3fdc9a88e914d001ba725df84,cd6db2aff6fc33f5a98af7ba316edf7dc1ea804d679c19f8bce5501d422ff684,cd6db2aff6fc33f5a98af7ba316edf7dc1ea804d679c19f8bce5501d422ff684,True,True,True
6,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,ca48d116dba19c58fc9b5619557f25a592f1f8b3fdc9a88e914d001ba725df84,1cd7c6494c48dde8147c7a528463647f931ba9e82c71ba155c1acd391f7278da,ca48d116dba19c58fc9b5619557f25a592f1f8b3fdc9a88e914d001ba725df84,cd6db2aff6fc33f5a98af7ba316edf7dc1ea804d679c19f8bce5501d422ff684,1cd7c6494c48dde8147c7a528463647f931ba9e82c71ba155c1acd391f7278da,True,False,True
6,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,ca48d116dba19c58fc9b5619557f25a592f1f8b3fdc9a88e914d001ba725df84,c4412ed64762dcbadecfa68eb05ada4a1567ceb3bef25bca3879cb8e2f1d4c13,ca48d116dba19c58fc9b5619557f25a592f1f8b3fdc9a88e914d001ba725df84,cd6db2aff6fc33f5a98af7ba316edf7dc1ea804d679c19f8bce5501d422ff684,c4412ed64762dcbadecfa68eb05ada4a1567ceb3bef25bca3879cb8e2f1d4c13,True,False,True
7,control,none,True,True,False,True,0,0,True,True,True,True,f4eb38876d0293dd0783c29a7ce0853b980f402ed24cb7ad3fa86db86f29a590,e5082ece4c9bbbffccd468b4d92f078d62f54a52a74d5854a5857fbfca19e177,f4eb38876d0293dd0783c29a7ce0853b980f402ed24cb7ad3fa86db86f29a590,e5082ece4c9bbbffccd468b4d92f078d62f54a52a74d5854a5857fbfca19e177,e5082ece4c9bbbffccd468b4d92f078d62f54a52a74d5854a5857fbfca19e177,True,True,True
7,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,f4eb38876d0293dd0783c29a7ce0853b980f402ed24cb7ad3fa86db86f29a590,c2994b0a6529db05c95e1569f683d8462237b95f41bd736d6cf47a4254b1701c,f4eb38876d0293dd0783c29a7ce0853b980f402ed24cb7ad3fa86db86f29a590,e5082ece4c9bbbffccd468b4d92f078d62f54a52a74d5854a5857fbfca19e177,c2994b0a6529db05c95e1569f683d8462237b95f41bd736d6cf47a4254b1701c,True,False,True
7,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,f4eb38876d0293dd0783c29a7ce0853b980f402ed24cb7ad3fa86db86f29a590,874a662913159c15684f13a2cfb85826930a1b3c95430fb880accd29593e6bb2,f4eb38876d0293dd0783c29a7ce0853b980f402ed24cb7ad3fa86db86f29a590,e5082ece4c9bbbffccd468b4d92f078d62f54a52a74d5854a5857fbfca19e177,874a662913159c15684f13a2cfb85826930a1b3c95430fb880accd29593e6bb2,True,False,True
8,control,none,True,True,False,True,0,0,True,True,True,True,d7ff5a4d2e17dfac1a3d10271ad107c3b947bac052cf7b28aeb8cd572c24b7c7,14ca89f058a929bd468ebc5951c6c489cee47c87fa3da011af08890e2a810e5d,d7ff5a4d2e17dfac1a3d10271ad107c3b947bac052cf7b28aeb8cd572c24b7c7,14ca89f058a929bd468ebc5951c6c489cee47c87fa3da011af08890e2a810e5d,14ca89f058a929bd468ebc5951c6c489cee47c87fa3da011af08890e2a810e5d,True,True,True
8,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,d7ff5a4d2e17dfac1a3d10271ad107c3b947bac052cf7b28aeb8cd572c24b7c7,f0a1cfd55f83fdea1474eb160b1739ded44c1bfeda05d30c059e35990b6978e8,d7ff5a4d2e17dfac1a3d10271ad107c3b947bac052cf7b28aeb8cd572c24b7c7,14ca89f058a929bd468ebc5951c6c489cee47c87fa3da011af08890e2a810e5d,f0a1cfd55f83fdea1474eb160b1739ded44c1bfeda05d30c059e35990b6978e8,True,False,True
8,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,d7ff5a4d2e17dfac1a3d10271ad107c3b947bac052cf7b28aeb8cd572c24b7c7,162a6229028d6c8211e641dc83ee16a03dc05f5e67fe79fbb6f3024b661c861d,d7ff5a4d2e17dfac1a3d10271ad107c3b947bac052cf7b28aeb8cd572c24b7c7,14ca89f058a929bd468ebc5951c6c489cee47c87fa3da011af08890e2a810e5d,162a6229028d6c8211e641dc83ee16a03dc05f5e67fe79fbb6f3024b661c861d,True,False,True
9,control,none,True,True,False,True,0,0,True,True,True,True,4c28fa38b052dcaaae73d158c964ec148415db33c8d18cc12be51984b4295b22,733bfd767c9eae0b432a6d06c9b4490e3ccf0c31c9bcac65cedbb939efb545e8,4c28fa38b052dcaaae73d158c964ec148415db33c8d18cc12be51984b4295b22,733bfd767c9eae0b432a6d06c9b4490e3ccf0c31c9bcac65cedbb939efb545e8,733bfd767c9eae0b432a6d06c9b4490e3ccf0c31c9bcac65cedbb939efb545e8,True,True,True
9,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,4c28fa38b052dcaaae73d158c964ec148415db33c8d18cc12be51984b4295b22,1739aefa7f384ba31c26f4577f3c28f1cd89feac8fdc94017fe5cfb8fd60c0b4,4c28fa38b052dcaaae73d158c964ec148415db33c8d18cc12be51984b4295b22,733bfd767c9eae0b432a6d06c9b4490e3ccf0c31c9bcac65cedbb939efb545e8,1739aefa7f384ba31c26f4577f3c28f1cd89feac8fdc94017fe5cfb8fd60c0b4,True,False,True
9,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,4c28fa38b052dcaaae73d158c964ec148415db33c8d18cc12be51984b4295b22,247cdf9ac9f388de135ca9424979b71db7d4bdbeb74e02c55d3a4e52202022f0,4c28fa38b052dcaaae73d158c964ec148415db33c8d18cc12be51984b4295b22,733bfd767c9eae0b432a6d06c9b4490e3ccf0c31c9bcac65cedbb939efb545e8,247cdf9ac9f388de135ca9424979b71db7d4bdbeb74e02c55d3a4e52202022f0,True,False,True
10,control,none,True,True,False,True,0,0,True,True,True,True,ca101fb406f975f4aa0f343c0121ca1417867246a9a71e247dfddac3c24bf8a5,d2129f2e1808600b4b679aa610e190bcbdde62560b5742b853bf0435f1e99287,ca101fb406f975f4aa0f343c0121ca1417867246a9a71e247dfddac3c24bf8a5,d2129f2e1808600b4b679aa610e190bcbdde62560b5742b853bf0435f1e99287,d2129f2e1808600b4b679aa610e190bcbdde62560b5742b853bf0435f1e99287,True,True,True
10,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,ca101fb406f975f4aa0f343c0121ca1417867246a9a71e247dfddac3c24bf8a5,59246cf0ca7be294f914621f2138e1b3b792bd43befb4117e705671cba76ade0,ca101fb406f975f4aa0f343c0121ca1417867246a9a71e247dfddac3c24bf8a5,d2129f2e1808600b4b679aa610e190bcbdde62560b5742b853bf0435f1e99287,59246cf0ca7be294f914621f2138e1b3b792bd43befb4117e705671cba76ade0,True,False,True
10,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,ca101fb406f975f4aa0f343c0121ca1417867246a9a71e247dfddac3c24bf8a5,23f03db48a793bc2cb6bd1d864dc3285b47719f9ae63719e8b93705723f93e83,ca101fb406f975f4aa0f343c0121ca1417867246a9a71e247dfddac3c24bf8a5,d2129f2e1808600b4b679aa610e190bcbdde62560b5742b853bf0435f1e99287,23f03db48a793bc2cb6bd1d864dc3285b47719f9ae63719e8b93705723f93e83,True,False,True
11,control,none,True,True,False,True,0,0,True,True,True,True,af521b0731a13718b205e819907eaaacf710770bae06a7a733a56be32e82795b,78940043e20ecf3435b13cc5bbd8029baf957d6920ccb1e4b7048325bb565c66,af521b0731a13718b205e819907eaaacf710770bae06a7a733a56be32e82795b,78940043e20ecf3435b13cc5bbd8029baf957d6920ccb1e4b7048325bb565c66,78940043e20ecf3435b13cc5bbd8029baf957d6920ccb1e4b7048325bb565c66,True,True,True
11,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,af521b0731a13718b205e819907eaaacf710770bae06a7a733a56be32e82795b,d3708ba483807f25d661f79bfc939bb664ad60d0bfa4a07894abcbf638a398c3,af521b0731a13718b205e819907eaaacf710770bae06a7a733a56be32e82795b,78940043e20ecf3435b13cc5bbd8029baf957d6920ccb1e4b7048325bb565c66,d3708ba483807f25d661f79bfc939bb664ad60d0bfa4a07894abcbf638a398c3,True,False,True
11,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,af521b0731a13718b205e819907eaaacf710770bae06a7a733a56be32e82795b,d6b837852436d5d023a1370946ae22ede5f6a483915ad260fb7251157746e065,af521b0731a13718b205e819907eaaacf710770bae06a7a733a56be32e82795b,78940043e20ecf3435b13cc5bbd8029baf957d6920ccb1e4b7048325bb565c66,d6b837852436d5d023a1370946ae22ede5f6a483915ad260fb7251157746e065,True,False,True
12,control,none,True,True,False,True,0,0,True,True,True,True,2fd4bfc4b71acd21e2b762e150b2e907f0f70467e18e38aab6b4f40719a2b8a8,753f79a5659ac66e03ce76958f7d069b5bdbefa9ff89a45e00871dc396822fa5,2fd4bfc4b71acd21e2b762e150b2e907f0f70467e18e38aab6b4f40719a2b8a8,753f79a5659ac66e03ce76958f7d069b5bdbefa9ff89a45e00871dc396822fa5,753f79a5659ac66e03ce76958f7d069b5bdbefa9ff89a45e00871dc396822fa5,True,True,True
12,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,2fd4bfc4b71acd21e2b762e150b2e907f0f70467e18e38aab6b4f40719a2b8a8,f6ce97996dce589747a3a9afef3e0b1ef1ac931a3eb73f688b5bdf2aa2fa95f1,2fd4bfc4b71acd21e2b762e150b2e907f0f70467e18e38aab6b4f40719a2b8a8,753f79a5659ac66e03ce76958f7d069b5bdbefa9ff89a45e00871dc396822fa5,f6ce97996dce589747a3a9afef3e0b1ef1ac931a3eb73f688b5bdf2aa2fa95f1,True,False,True
12,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,2fd4bfc4b71acd21e2b762e150b2e907f0f70467e18e38aab6b4f40719a2b8a8,b8a99ce3e520e2d18b779aa5d1369da78a6af5b3566b103ec2a9b466e80d1ca6,2fd4bfc4b71acd21e2b762e150b2e907f0f70467e18e38aab6b4f40719a2b8a8,753f79a5659ac66e03ce76958f7d069b5bdbefa9ff89a45e00871dc396822fa5,b8a99ce3e520e2d18b779aa5d1369da78a6af5b3566b103ec2a9b466e80d1ca6,True,False,True
13,control,none,True,True,False,True,0,0,True,True,True,True,ebd46255d0219f5feca8477b6cc7a25cea34f31797a8cfdf829de176b903c55e,2f90dc6cb5689e92922f2e188c52daa523b5b439001321633f85a494b6eb897a,ebd46255d0219f5feca8477b6cc7a25cea34f31797a8cfdf829de176b903c55e,2f90dc6cb5689e92922f2e188c52daa523b5b439001321633f85a494b6eb897a,2f90dc6cb5689e92922f2e188c52daa523b5b439001321633f85a494b6eb897a,True,True,True
13,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,ebd46255d0219f5feca8477b6cc7a25cea34f31797a8cfdf829de176b903c55e,ce92352b356e46e5bb45087a279383fe2a279dc9ee7cf4b8dc196235577bdf07,ebd46255d0219f5feca8477b6cc7a25cea34f31797a8cfdf829de176b903c55e,2f90dc6cb5689e92922f2e188c52daa523b5b439001321633f85a494b6eb897a,ce92352b356e46e5bb45087a279383fe2a279dc9ee7cf4b8dc196235577bdf07,True,False,True
13,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,ebd46255d0219f5feca8477b6cc7a25cea34f31797a8cfdf829de176b903c55e,2c72b89bc1d13ac902265dfa3c24ebdf0d70e07e80573b456351886cbe6d474d,ebd46255d0219f5feca8477b6cc7a25cea34f31797a8cfdf829de176b903c55e,2f90dc6cb5689e92922f2e188c52daa523b5b439001321633f85a494b6eb897a,2c72b89bc1d13ac902265dfa3c24ebdf0d70e07e80573b456351886cbe6d474d,True,False,True
14,control,none,True,True,False,True,0,0,True,True,True,True,3b3a89549ad5cb8ade4d73801e5d53997af24c1d19b96341782c1a21490a9b76,3a6652052851b8223d8e2b60a58ab703d0c951775ac1ab16948a2c98026894b6,3b3a89549ad5cb8ade4d73801e5d53997af24c1d19b96341782c1a21490a9b76,3a6652052851b8223d8e2b60a58ab703d0c951775ac1ab16948a2c98026894b6,3a6652052851b8223d8e2b60a58ab703d0c951775ac1ab16948a2c98026894b6,True,True,True
14,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,3b3a89549ad5cb8ade4d73801e5d53997af24c1d19b96341782c1a21490a9b76,f1918264ef837e53375ea601deb9961d5b2c114c75e47bb53096e515ff89fefe,3b3a89549ad5cb8ade4d73801e5d53997af24c1d19b96341782c1a21490a9b76,3a6652052851b8223d8e2b60a58ab703d0c951775ac1ab16948a2c98026894b6,f1918264ef837e53375ea601deb9961d5b2c114c75e47bb53096e515ff89fefe,True,False,True
14,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,3b3a89549ad5cb8ade4d73801e5d53997af24c1d19b96341782c1a21490a9b76,af3d885c5fe29a5416805b6a532ef0ee534086b8d8f35319adf48e078d7a2191,3b3a89549ad5cb8ade4d73801e5d53997af24c1d19b96341782c1a21490a9b76,3a6652052851b8223d8e2b60a58ab703d0c951775ac1ab16948a2c98026894b6,af3d885c5fe29a5416805b6a532ef0ee534086b8d8f35319adf48e078d7a2191,True,False,True
15,control,none,True,True,False,True,0,0,True,True,True,True,e95b05dc753e685bbce1e3946c6ae07bf087e9aed6fb1afff79f66887294e728,64b404fb47264c5efe66cf9abcfc119aa4b1119acf15ffebc0c2fa7c14f88ace,e95b05dc753e685bbce1e3946c6ae07bf087e9aed6fb1afff79f66887294e728,64b404fb47264c5efe66cf9abcfc119aa4b1119acf15ffebc0c2fa7c14f88ace,64b404fb47264c5efe66cf9abcfc119aa4b1119acf15ffebc0c2fa7c14f88ace,True,True,True
15,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,e95b05dc753e685bbce1e3946c6ae07bf087e9aed6fb1afff79f66887294e728,12ee5c8ff6c1f3cde45fdd989609de872f5969d8e416208d96583f90c9f8f6e8,e95b05dc753e685bbce1e3946c6ae07bf087e9aed6fb1afff79f66887294e728,64b404fb47264c5efe66cf9abcfc119aa4b1119acf15ffebc0c2fa7c14f88ace,12ee5c8ff6c1f3cde45fdd989609de872f5969d8e416208d96583f90c9f8f6e8,True,False,True
15,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,e95b05dc753e685bbce1e3946c6ae07bf087e9aed6fb1afff79f66887294e728,135bcd28d9a2672aeceb2a406d08c7dd514be2d9539e2bda8544d4f7578dc871,e95b05dc753e685bbce1e3946c6ae07bf087e9aed6fb1afff79f66887294e728,64b404fb47264c5efe66cf9abcfc119aa4b1119acf15ffebc0c2fa7c14f88ace,135bcd28d9a2672aeceb2a406d08c7dd514be2d9539e2bda8544d4f7578dc871,True,False,True
16,control,none,True,True,False,True,0,0,True,True,True,True,3886b2b75ec7456be8a9e7be1f8375000843cf04e94850022f185df8be715536,dda6802209ae89796d0b0f10760fef1cdcb4bfddbdfb453f056df8d70bea5958,3886b2b75ec7456be8a9e7be1f8375000843cf04e94850022f185df8be715536,dda6802209ae89796d0b0f10760fef1cdcb4bfddbdfb453f056df8d70bea5958,dda6802209ae89796d0b0f10760fef1cdcb4bfddbdfb453f056df8d70bea5958,True,True,True
16,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,3886b2b75ec7456be8a9e7be1f8375000843cf04e94850022f185df8be715536,7045fc1f63cee61a5a014c93052292386b847cc789f4df4cf5d5331aad3693b4,3886b2b75ec7456be8a9e7be1f8375000843cf04e94850022f185df8be715536,dda6802209ae89796d0b0f10760fef1cdcb4bfddbdfb453f056df8d70bea5958,7045fc1f63cee61a5a014c93052292386b847cc789f4df4cf5d5331aad3693b4,True,False,True
16,altered,B_swap_units_8_9,True,True,True,True,4,2,True,True,True,True,3886b2b75ec7456be8a9e7be1f8375000843cf04e94850022f185df8be715536,43a1c789318f148c4ee63cbf1ebdfb2fc534612853dc942ce030adcc562f9aca,3886b2b75ec7456be8a9e7be1f8375000843cf04e94850022f185df8be715536,dda6802209ae89796d0b0f10760fef1cdcb4bfddbdfb453f056df8d70bea5958,43a1c789318f148c4ee63cbf1ebdfb2fc534612853dc942ce030adcc562f9aca,True,False,True
17,control,none,True,True,False,True,0,0,True,True,True,True,ca60114b65e62d788cf1d3d0e67b581b37ef8bae2b27238f594b6f83d9fd50b1,4930cfd7c43f232212475d81253b4af8ec5dd5b4ba413c8afd1434086125bb96,ca60114b65e62d788cf1d3d0e67b581b37ef8bae2b27238f594b6f83d9fd50b1,4930cfd7c43f232212475d81253b4af8ec5dd5b4ba413c8afd1434086125bb96,4930cfd7c43f232212475d81253b4af8ec5dd5b4ba413c8afd1434086125bb96,True,True,True
17,altered,A_swap_units_0_1,True,True,True,True,4,2,True,True,True,True,ca60114b65e62d788cf1d3d0e67b581b37ef8bae2b27238f594b6f83d9fd50b1,a78614efbbc512d0eb6c705f76864df0fc904c1ba2b51b522a45fb27b411100e,ca60114b65e62d788cf1d3d0e67b581b37ef8bae2b27238f594b6f83d9fd50b1,4930cfd7c43f232212475d81253b4af8ec5dd5b4ba413c8afd1434086125bb96,a78614efbbc512d0eb6c705f76864df0fc904c1ba2b51b522a45fb27b411100e,True,False,True
