dataset_id,expected_maximum_ids,observed_maximum_ids,maximum_score,exactly_four_maxima,maximum_equals_0_75,maximum_set_matches,all_others_equal_0_70,passed,score_C00,score_C01,score_C02,score_C03,score_C04,score_C05,score_C06,score_C07,score_C08,score_C09,score_C10,score_C11
33,3|4|9|10,3|4|9|10,0.75,True,True,True,True,True,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7
34,4|5|10|11,4|5|10|11,0.75,True,True,True,True,True,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75
35,0|5|6|11,0|5|6|11,0.75,True,True,True,True,True,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75
36,0|1|6|7,0|1|6|7,0.75,True,True,True,True,True,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7
37,1|2|7|8,1|2|7|8,0.75,True,True,True,True,True,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7
38,2|3|8|9,2|3|8|9,0.75,True,True,True,True,True,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7
39,3|4|9|10,3|4|9|10,0.75,True,True,True,True,True,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7
40,4|5|10|11,4|5|10|11,0.75,True,True,True,True,True,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75
41,0|5|6|11,0|5|6|11,0.75,True,True,True,True,True,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75
42,0|1|6|7,0|1|6|7,0.75,True,True,True,True,True,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7
43,1|2|7|8,1|2|7|8,0.75,True,True,True,True,True,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7
44,2|3|8|9,2|3|8|9,0.75,True,True,True,True,True,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7
45,3|4|9|10,3|4|9|10,0.75,True,True,True,True,True,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7
46,4|5|10|11,4|5|10|11,0.75,True,True,True,True,True,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75
47,0|5|6|11,0|5|6|11,0.75,True,True,True,True,True,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75
48,0|1|6|7,0|1|6|7,0.75,True,True,True,True,True,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7
49,1|2|7|8,1|2|7|8,0.75,True,True,True,True,True,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7
50,2|3|8|9,2|3|8|9,0.75,True,True,True,True,True,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7
51,3|4|9|10,3|4|9|10,0.75,True,True,True,True,True,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7
52,4|5|10|11,4|5|10|11,0.75,True,True,True,True,True,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75
53,0|5|6|11,0|5|6|11,0.75,True,True,True,True,True,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75
54,0|1|6|7,0|1|6|7,0.75,True,True,True,True,True,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7
55,1|2|7|8,1|2|7|8,0.75,True,True,True,True,True,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7
56,2|3|8|9,2|3|8|9,0.75,True,True,True,True,True,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7
57,3|4|9|10,3|4|9|10,0.75,True,True,True,True,True,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7
58,4|5|10|11,4|5|10|11,0.75,True,True,True,True,True,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75,0.75
59,0|5|6|11,0|5|6|11,0.75,True,True,True,True,True,0.75,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.7,0.7,0.75
