replicate,algorithm,evaluations,best_fitness,solved_blocks,optimum_reached,eligible_at_100000
13,batch16,500000,93,13,False,True
14,serial,100000,93,13,False,True
14,serial,250000,93,13,False,True
14,serial,500000,93,13,False,True
14,batch16,100000,92,12,False,True
14,batch16,250000,92,12,False,True
14,batch16,500000,92,12,False,True
15,serial,100000,91,11,False,True
15,serial,250000,91,11,False,True
15,serial,500000,91,11,False,True
15,batch16,100000,95,15,False,True
15,batch16,250000,95,15,False,True
15,batch16,500000,95,15,False,True
16,serial,100000,93,13,False,True
16,serial,250000,93,13,False,True
16,serial,500000,93,13,False,True
16,batch16,100000,97,17,False,True
16,batch16,250000,97,17,False,True
16,batch16,500000,97,17,False,True
17,serial,100000,93,13,False,True
17,serial,250000,93,13,False,True
17,serial,500000,93,13,False,True
17,batch16,100000,93,13,False,True
17,batch16,250000,93,13,False,True
17,batch16,500000,93,13,False,True
18,serial,100000,96,16,False,True
18,serial,250000,96,16,False,True
18,serial,500000,96,16,False,True
18,batch16,100000,92,12,False,True
18,batch16,250000,92,12,False,True
18,batch16,500000,92,12,False,True
19,serial,100000,89,9,False,True
19,serial,250000,89,9,False,True
19,serial,500000,89,9,False,True
19,batch16,100000,90,10,False,True
19,batch16,250000,90,10,False,True
19,batch16,500000,90,10,False,True
20,serial,100000,95,15,False,True
20,serial,250000,95,15,False,True
20,serial,500000,95,15,False,True
20,batch16,100000,92,12,False,True
20,batch16,250000,92,12,False,True
20,batch16,500000,92,12,False,True
21,serial,100000,92,12,False,True
21,serial,250000,92,12,False,True
21,serial,500000,92,12,False,True
21,batch16,100000,93,13,False,True
21,batch16,250000,93,13,False,True
21,batch16,500000,93,13,False,True
22,serial,100000,94,14,False,True
22,serial,250000,94,14,False,True
22,serial,500000,94,14,False,True
22,batch16,100000,94,14,False,True
22,batch16,250000,94,14,False,True
22,batch16,500000,94,14,False,True
23,serial,100000,92,12,False,True
23,serial,250000,92,12,False,True
23,serial,500000,92,12,False,True
23,batch16,100000,93,13,False,True
23,batch16,250000,93,13,False,True
23,batch16,500000,93,13,False,True
24,serial,100000,95,15,False,True
24,serial,250000,95,15,False,True
24,serial,500000,95,15,False,True
24,batch16,100000,94,14,False,True
24,batch16,250000,94,14,False,True
24,batch16,500000,94,14,False,True
25,serial,100000,94,14,False,True
25,serial,250000,94,14,False,True
25,serial,500000,94,14,False,True
25,batch16,100000,94,14,False,True
25,batch16,250000,94,14,False,True
25,batch16,500000,94,14,False,True
26,serial,100000,94,14,False,True
26,serial,250000,94,14,False,True
26,serial,500000,94,14,False,True
26,batch16,100000,90,10,False,True
26,batch16,250000,90,10,False,True
26,batch16,500000,90,10,False,True
27,serial,100000,92,12,False,True
27,serial,250000,92,12,False,True
27,serial,500000,92,12,False,True
27,batch16,100000,92,12,False,True
27,batch16,250000,92,12,False,True
27,batch16,500000,92,12,False,True
28,serial,100000,93,13,False,True
28,serial,250000,93,13,False,True
28,serial,500000,93,13,False,True
28,batch16,100000,93,13,False,True
28,batch16,250000,93,13,False,True
28,batch16,500000,93,13,False,True
29,serial,100000,95,15,False,True
29,serial,250000,95,15,False,True
29,serial,500000,95,15,False,True
29,batch16,100000,93,13,False,True
29,batch16,250000,93,13,False,True
29,batch16,500000,93,13,False,True
30,serial,100000,89,9,False,True
30,serial,250000,89,9,False,True
30,serial,500000,89,9,False,True
30,batch16,100000,94,14,False,True
30,batch16,250000,94,14,False,True
30,batch16,500000,94,14,False,True
31,serial,100000,91,11,False,True
31,serial,250000,91,11,False,True
31,serial,500000,91,11,False,True
31,batch16,100000,93,13,False,True
31,batch16,250000,93,13,False,True
31,batch16,500000,93,13,False,True
32,serial,100000,89,9,False,True
32,serial,250000,89,9,False,True
32,serial,500000,89,9,False,True
32,batch16,100000,94,14,False,True
32,batch16,250000,94,14,False,True
32,batch16,500000,94,14,False,True
33,serial,100000,92,12,False,True
33,serial,250000,92,12,False,True
33,serial,500000,92,12,False,True
33,batch16,100000,94,14,False,True
33,batch16,250000,94,14,False,True
33,batch16,500000,94,14,False,True
34,serial,100000,92,12,False,True
34,serial,250000,92,12,False,True
34,serial,500000,92,12,False,True
34,batch16,100000,91,11,False,True
34,batch16,250000,91,11,False,True
34,batch16,500000,91,11,False,True
35,serial,100000,92,12,False,True
35,serial,250000,92,12,False,True
35,serial,500000,92,12,False,True
35,batch16,100000,92,12,False,True
35,batch16,250000,92,12,False,True
35,batch16,500000,92,12,False,True
36,serial,100000,93,13,False,True
36,serial,250000,93,13,False,True
36,serial,500000,93,13,False,True
36,batch16,100000,93,13,False,True
36,batch16,250000,93,13,False,True
36,batch16,500000,93,13,False,True
37,serial,100000,93,13,False,True
37,serial,250000,93,13,False,True
37,serial,500000,93,13,False,True
37,batch16,100000,90,10,False,True
37,batch16,250000,90,10,False,True
37,batch16,500000,90,10,False,True
38,serial,100000,93,13,False,True
38,serial,250000,93,13,False,True
38,serial,500000,93,13,False,True
38,batch16,100000,93,13,False,True
38,batch16,250000,93,13,False,True
38,batch16,500000,93,13,False,True
39,serial,100000,93,13,False,True
39,serial,250000,93,13,False,True
39,serial,500000,93,13,False,True
39,batch16,100000,93,13,False,True
39,batch16,250000,93,13,False,True
39,batch16,500000,93,13,False,True
40,serial,100000,93,13,False,True
40,serial,250000,93,13,False,True
40,serial,500000,93,13,False,True
40,batch16,100000,91,11,False,True
40,batch16,250000,91,11,False,True
40,batch16,500000,91,11,False,True
41,serial,100000,94,14,False,True
41,serial,250000,94,14,False,True
41,serial,500000,94,14,False,True
41,batch16,100000,94,14,False,True
41,batch16,250000,94,14,False,True
41,batch16,500000,94,14,False,True
42,serial,100000,91,11,False,True
42,serial,250000,91,11,False,True
42,serial,500000,91,11,False,True
42,batch16,100000,94,14,False,True
42,batch16,250000,94,14,False,True
42,batch16,500000,94,14,False,True
43,serial,100000,89,9,False,True
43,serial,250000,89,9,False,True
43,serial,500000,89,9,False,True
43,batch16,100000,89,9,False,True
43,batch16,250000,89,9,False,True
43,batch16,500000,89,9,False,True
44,serial,100000,91,11,False,True
44,serial,250000,91,11,False,True
44,serial,500000,91,11,False,True
44,batch16,100000,94,14,False,True
44,batch16,250000,94,14,False,True
44,batch16,500000,94,14,False,True
45,serial,100000,90,10,False,True
45,serial,250000,90,10,False,True
45,serial,500000,90,10,False,True
45,batch16,100000,91,11,False,True
45,batch16,250000,91,11,False,True
45,batch16,500000,91,11,False,True
46,serial,100000,91,11,False,True
46,serial,250000,91,11,False,True
46,serial,500000,91,11,False,True
46,batch16,100000,92,12,False,True
46,batch16,250000,92,12,False,True
46,batch16,500000,92,12,False,True
47,serial,100000,92,12,False,True
47,serial,250000,92,12,False,True
47,serial,500000,92,12,False,True
47,batch16,100000,92,12,False,True
47,batch16,250000,92,12,False,True
47,batch16,500000,92,12,False,True
48,serial,100000,93,13,False,True
48,serial,250000,93,13,False,True
48,serial,500000,93,13,False,True
48,batch16,100000,93,13,False,True
48,batch16,250000,93,13,False,True
48,batch16,500000,93,13,False,True
49,serial,100000,90,10,False,True
49,serial,250000,90,10,False,True
49,serial,500000,90,10,False,True
49,batch16,100000,89,9,False,True
49,batch16,250000,89,9,False,True
49,batch16,500000,89,9,False,True
50,serial,100000,91,11,False,True
50,serial,250000,91,11,False,True
50,serial,500000,91,11,False,True
50,batch16,100000,90,10,False,True
50,batch16,250000,90,10,False,True
50,batch16,500000,90,10,False,True
51,serial,100000,94,14,False,True
51,serial,250000,94,14,False,True
51,serial,500000,94,14,False,True
51,batch16,100000,93,13,False,True
51,batch16,250000,93,13,False,True
51,batch16,500000,93,13,False,True
52,serial,100000,90,10,False,True
52,serial,250000,90,10,False,True
52,serial,500000,90,10,False,True
52,batch16,100000,93,13,False,True
52,batch16,250000,93,13,False,True
52,batch16,500000,93,13,False,True
53,serial,100000,90,10,False,True
53,serial,250000,90,10,False,True
53,serial,500000,90,10,False,True
53,batch16,100000,90,10,False,True
53,batch16,250000,90,10,False,True
53,batch16,500000,90,10,False,True
54,serial,100000,93,13,False,True
54,serial,250000,93,13,False,True
54,serial,500000,93,13,False,True
54,batch16,100000,94,14,False,True
54,batch16,250000,94,14,False,True
54,batch16,500000,94,14,False,True
55,serial,100000,94,14,False,True
55,serial,250000,94,14,False,True
55,serial,500000,94,14,False,True
55,batch16,100000,94,14,False,True
55,batch16,250000,94,14,False,True
55,batch16,500000,94,14,False,True
56,serial,100000,94,14,False,True
56,serial,250000,94,14,False,True
56,serial,500000,94,14,False,True
56,batch16,100000,95,15,False,True
56,batch16,250000,95,15,False,True
56,batch16,500000,95,15,False,True
57,serial,100000,92,12,False,True
57,serial,250000,92,12,False,True
57,serial,500000,92,12,False,True
57,batch16,100000,90,10,False,True
57,batch16,250000,90,10,False,True
57,batch16,500000,90,10,False,True
58,serial,100000,92,12,False,True
58,serial,250000,92,12,False,True
58,serial,500000,92,12,False,True
58,batch16,100000,94,14,False,True
58,batch16,250000,94,14,False,True
58,batch16,500000,94,14,False,True
59,serial,100000,89,9,False,True
59,serial,250000,89,9,False,True
59,serial,500000,89,9,False,True
59,batch16,100000,91,11,False,True
59,batch16,250000,91,11,False,True
59,batch16,500000,91,11,False,True
60,serial,100000,94,14,False,True
60,serial,250000,94,14,False,True
60,serial,500000,94,14,False,True
60,batch16,100000,91,11,False,True
60,batch16,250000,91,11,False,True
60,batch16,500000,91,11,False,True
61,serial,100000,91,11,False,True
61,serial,250000,91,11,False,True
61,serial,500000,91,11,False,True
61,batch16,100000,90,10,False,True
61,batch16,250000,90,10,False,True
61,batch16,500000,90,10,False,True
62,serial,100000,91,11,False,True
62,serial,250000,91,11,False,True
62,serial,500000,91,11,False,True
62,batch16,100000,94,14,False,True
62,batch16,250000,94,14,False,True
62,batch16,500000,94,14,False,True
63,serial,100000,97,17,False,True
63,serial,250000,97,17,False,True
63,serial,500000,97,17,False,True
63,batch16,100000,94,14,False,True
63,batch16,250000,94,14,False,True
63,batch16,500000,94,14,False,True
